country,region,gdp_per_cap_usd,population,suicides_per_100k,gini,HDI,median_age,life_expectancy,household_debt_percent_GDP,happiness,sqrt_suicides,suicide_no
Mongolia,OCEANIA                            ,46198.0,4129770.0,12.42199929,32.0,0.737,27.9,69.111,52.285128571428565,4.874,3.524485677371948,513.0000000786331
Ireland,WESTERN EUROPE                     ,59634.0,4328043.0,11.22909361,31.9,0.929,36.4,81.45365854,56.46,6.94,3.350983976386637,485.9999999510523
Belarus,EASTERN EUROPE                     ,8849.0,8906977.0,19.54647463,26.7,0.805,39.8,73.62439024,52.285128571428565,5.813,4.421139517138087,1740.999999604935
Bahamas,LATIN AMER. & CARIB    ,30455.0,348959.0,1.432833084,57.0,0.807,31.8,73.08800000000002,52.285128571428565,6.162260273972603,1.1970100601081013,5.00000000159556
Bahrain,MIDDLE EAST,27503.0,1213966.0,0.7413716690000001,37.42333333333333,0.8320000000000001,32.1,76.762,52.285128571428565,5.96,0.8610294240036168,8.99999999529254
Barbados,LATIN AMER. & CARIB    ,17395.0,265165.0,0.0,37.42333333333333,0.797,38.3,78.801,52.285128571428565,6.162260273972603,0.0,0.0
Kuwait,MIDDLE EAST,43774.0,3715284.0,1.830277309,37.42333333333333,0.802,29.2,75.13,52.285128571428565,6.295,1.3528774183199304,68.00000001690755
Maldives,WESTERN ASIA,8135.0,341018.0,0.586479306,38.4,0.71,27.8,77.691,52.285128571428565,6.162260273972603,0.7658193690420738,1.9999999997350801
New Zealand,OCEANIA                            ,46198.0,4129770.0,12.42199929,40.0,0.914,37.8,81.45682927,89.86,7.286,3.524485677371948,513.0000000786331
Oman,MIDDLE EAST,22328.0,3631098.0,0.192779154,30.72,0.8220000000000001,25.4,76.887,52.285128571428565,6.853,0.4390662296282874,7.000000005310921
Saint Lucia,LATIN AMER. & CARIB    ,9372.0,165596.0,8.454310491000001,42.6,0.7440000000000001,34.2,74.8647344,52.285128571428565,6.162260273972603,2.9076297032118794,14.000000000676362
Aruba,LATIN AMER. & CARIB    ,27066.0,95488.0,9.425268097,37.42333333333333,0.8158823529411766,39.1,75.725,52.285128571428565,6.162260273972603,3.070059950066122,9.00000000046336
